"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HN03","HN03_ATTRIBUTES","HN04","HN04_ATTRIBUTES","HN05","HN05_ATTRIBUTES","HN06","HN06_ATTRIBUTES","HN07","HN07_ATTRIBUTES","HN08","HN08_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","HX03","HX03_ATTRIBUTES","HX04","HX04_ATTRIBUTES","HX05","HX05_ATTRIBUTES","HX06","HX06_ATTRIBUTES","HX07","HX07_ATTRIBUTES","HX08","HX08_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LN03","LN03_ATTRIBUTES","LN04","LN04_ATTRIBUTES","LN05","LN05_ATTRIBUTES","LN06","LN06_ATTRIBUTES","LN07","LN07_ATTRIBUTES","LN08","LN08_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","LX03","LX03_ATTRIBUTES","LX04","LX04_ATTRIBUTES","LX05","LX05_ATTRIBUTES","LX06","LX06_ATTRIBUTES","LX07","LX07_ATTRIBUTES","LX08","LX08_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MN03","MN03_ATTRIBUTES","MN04","MN04_ATTRIBUTES","MN05","MN05_ATTRIBUTES","MN06","MN06_ATTRIBUTES","MN07","MN07_ATTRIBUTES","MN08","MN08_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MX03","MX03_ATTRIBUTES","MX04","MX04_ATTRIBUTES","MX05","MX05_ATTRIBUTES","MX06","MX06_ATTRIBUTES","MX07","MX07_ATTRIBUTES","MX08","MX08_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00129222","1961-01","41.4439","-86.9294","224.0","WANATAH 2 WNW, IN US","0.0","0","0.0",",0","7",",0","2",",0","0",",0","24",",0","2",",0","8",",0","31",",0","17",",0","0",",0","0",",0","","","19610125",",,0","19610130","+,,0","19610125","+,,0","","","19610121",",,0","19610114",",,0","-29.4",",0,25,","102",",,0,30,+","51",",,0,25,+","3.6",",,0,21,","10.0",",0,14,","","","","","","","","","","","","","","","","","","","","","776.9",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.7",",,,0","189",",,,0","-6.73",",0","-1.61",",,,0","-11.85",",,,0","",""
"USC00129222","1961-02","41.4439","-86.9294","224.0","WANATAH 2 WNW, IN US","0.0","0","0.0",",0","6",",0","5",",0","0",",0","15",",0","2",",0","0",",0","26",",0","8",",0","0",",0","0",",0","5","","19610203",",,0","19610204","+,,0","19610225",",,0","","","19610225",",,0","19610219",",,0","-17.2",",0,03,","152",",,0,04,+","119",",,0,25,","10.7",",,0,25,","16.7",",0,19,","","","","","","","","","","","","","","","","","","","","","557.8",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.7",",,,0","205",",,,0","-1.59",",0","3.76",",,,0","-6.94",",,,0","",""
"USC00129222","1961-03","41.4439","-86.9294","224.0","WANATAH 2 WNW, IN US","0.0","0","0.0","1,0","11",",0","8",",0","0",",0","2",",0","1",",0","0",",0","20",",0","0","1,0","1","1,0","0","1,0","3","","19610317",",,0","19610309",",,0","19610309",",,0","","","19610313",",,0","19610328",",1,0","-8.3",",0,17,","76",",,0,09,","86",",,0,09,","21.8",",,0,13,","21.7","1,0,28,","","","","","","","","","","","","","","","","","","","","","431.5","1,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","110.3",",,,0","89",",,,0","3.91","1,0","8.98","1,,,0","-1.15",",,,0","",""
"USC00129222","1961-04","41.4439","-86.9294","224.0","WANATAH 2 WNW, IN US","0.0","0","0.0",",0","20",",0","10",",0","1",",0","4",",0","4",",0","0",",0","14",",0","0",",0","1",",0","0",",0","2","","19610402",",,0","19610417",",,0","19610417",",,0","3","","19610422",",,0","19610425",",,0","-8.3",",0,02,","152",",,0,17,","81",",,0,17,","41.1",",,0,22,","21.7",",0,25,","","","","","","","","","","","","","","","","","","","","","384.9",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","126.9",",,,0","207",",,,0","5.50",",0","10.31",",,,0","0.70",",,,0","",""
"USC00129222","1961-05","41.4439","-86.9294","224.0","WANATAH 2 WNW, IN US","8.1","0","8.1",",0","5",",0","3",",0","0",",0","0",",0","0",",0","0",",0","5",",0","0",",0","11",",0","0",",0","","","19610502",",,0","19610531","+,,0","19610531","+,,0","2","","19610509",",,0","19610514",",,0","-1.1",",0,02,","0",",,0,31,+","0",",,0,31,+","16.3",",,0,09,","28.3",",0,14,","","","","","","","","","","","","","","","","","","","","","200.3",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.8",",,,0","0",",,,0","12.13",",0","18.84",",,,0","5.43",",,,0","",""
"USC00129222","1961-06","41.4439","-86.9294","224.0","WANATAH 2 WNW, IN US","69.3","0","61.2",",0","12",",0","7",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","27",",0","4",",0","5","","19610616","+,,0","19610630","+,,0","19610630","+,,0","6","","19610608",",,0","19610630",",,0","5.6",",0,16,+","0",",,0,30,+","0",",,0,30,+","97.0",",,0,08,","32.8",",0,30,","","","","","","","","","","","","","","","","","","","","","31.2",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","157.7",",,,0","0",",,,0","19.33",",0","26.57",",,,0","12.10",",,,0","",""
"USC00129222","1961-07","41.4439","-86.9294","224.0","WANATAH 2 WNW, IN US","179.0","0","109.7",",0","13",",0","13",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","2",",0","","","19610709",",,0","19610731","+,,0","19610731","+,,0","12","","19610706",",,0","19610701",",,0","8.9",",0,09,","0",",,0,31,+","0",",,0,31,+","23.4",",,0,06,","33.9",",0,01,","","","6.9","0","","","","","","","","","","","","","","","","","6.9",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","126.1",",,,0","0",",,,0","21.65",",0","27.58",",,,0","15.71",",,,0","",""
"USC00129222","1961-08","41.4439","-86.9294","224.0","WANATAH 2 WNW, IN US","280.1","0","101.1",",0","6",",0","5",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","1",",0","5","","19610821",",,0","19610831","+,,0","19610831","+,,0","4","","19610823",",,0","19610829",",,0","6.7",",0,21,","0",",,0,31,+","0",",,0,31,+","25.4",",,0,23,","32.2",",0,29,","","","13.1","0","","","","","","","","","","","","","","","","","6.2",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.4",",,,0","0",",,,0","21.40",",0","27.49",",,,0","15.30",",,,0","",""
"USC00129222","1961-09","41.4439","-86.9294","224.0","WANATAH 2 WNW, IN US","378.4","0","98.3",",0","11",",0","8",",0","3",",0","0",",0","0",",0","0",",0","1",",0","0",",0","23",",0","3",",0","3","","19610929",",,0","19610930","+,,0","19610930","+,,0","9","","19610923",",,0","19610910",",,0","0.0",",0,29,","0",",,0,30,+","0",",,0,30,+","35.1",",,0,23,","32.8",",0,10,","","","77.1","0","","","","","","","","","","","","","","","","","64.0",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","171.4",",,,0","0",",,,0","19.48",",0","25.89",",,,0","13.07",",,,0","",""
"USC00129222","1961-10","41.4439","-86.9294","224.0","WANATAH 2 WNW, IN US","382.6","0","4.2",",0","13",",0","8",",0","0",",0","0",",0","0",",0","0",",0","2",",0","0",",0","12",",0","0",",0","2","","19611027",",,0","19611031","+,,0","19611015","+,,0","2","","19611014",",,0","19611010","+,,0","-2.8",",0,27,","0",",,0,31,+","0",",T,0,15,+","12.4",",,0,14,","27.8",",0,10,+","","","282.2","0","","","","","","","","","","","","","","","","","205.1",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.6",",,,0","0",",T,,0","11.85",",0","18.15",",,,0","5.55",",,,0","",""
